caves;stalagmite;latitude;longitude;depth;age;O18;O18_error;C13;C13_error;
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.63;21.635;-7.01;-;-8.65;-;4.21
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.71;21.653;-7.09;-;-9.04;-;4.44
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.79;21.671;-6.82;-;-9.07;-;4.44
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.87;21.69;-6.94;-;-9.14;-;4.21
Cueva de Diamante;NAR-C;-5.733333;-77.5;40.95;21.708;-6.53;-;-9.32;-;4.44
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.03;21.726;-7.04;-;-9.13;-;4.44
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.11;21.745;-6.32;-;-9.4;-;4.21
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.19;21.763;-6.38;-;-9.34;-;4.44
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.27;21.781;-6.58;-;-9.38;-;4.44
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.35;21.799;-6.92;-;-8.77;-;4.44
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.46;21.825;-6.83;-;-8.99;-;4.23
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.57;21.85;-6.7;-;-9.14;-;4.4
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.68;21.875;-6.79;-;-9.03;-;4.4
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.79;21.9;-6.49;-;-8.45;-;4.4
Cueva de Diamante;NAR-C;-5.733333;-77.5;41.9;21.925;-6.7;-;-9.06;-;4.4
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.01;21.95;-6.99;-;-9.57;-;4.4
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.12;21.976;-6.73;-;-9.53;-;4.23
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.23;22.001;-6.8;-;-9.59;-;4.4
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.34;22.026;-7.3;-;-9.63;-;4.4
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.45;22.051;-6.93;-;-9.44;-;4.4
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.55;22.074;-7.13;-;-9.12;-;4.35
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.64444444;22.096;-7.17;-;-8.96;-;4.29
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.73888889;22.117;-6.98;-;-8.94;-;4.5
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.83333333;22.153;-6.92;-;-8.87;-;2.62
Cueva de Diamante;NAR-C;-5.733333;-77.5;42.92777778;22.189;-7.07;-;-9.05;-;2.62
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.02222222;22.225;-6.8;-;-9.29;-;2.62
Cueva de Diamante;NAR-C;-5.733333;-77.5;43.11666667;22.261;-6.84;-;-9.1;-;2.62
