caves;stalagmite;age;temp
Botuvera Cave;BT2;15.66;16.89
Botuvera Cave;BT2;15.65;16.66
Botuvera Cave;BT2;15.64;17.06
Botuvera Cave;BT2;15.63;16.91
Botuvera Cave;BT2;15.62;16.65
Botuvera Cave;BT2;15.61;16.46
Botuvera Cave;BT2;15.6;16.49
Botuvera Cave;BT2;15.59;16.51
Botuvera Cave;BT2;15.58;16.43
Botuvera Cave;BT2;15.57;16.66
Botuvera Cave;BT2;15.56;17.2
Botuvera Cave;BT2;15.55;17.17
Botuvera Cave;BT2;15.54;16.66
Botuvera Cave;BT2;15.53;17.02
Botuvera Cave;BT2;15.52;16.57
Botuvera Cave;BT2;15.51;16.96
Botuvera Cave;BT2;15.5;16.71
Botuvera Cave;BT2;15.49;16.5
Botuvera Cave;BT2;15.48;16.6
Botuvera Cave;BT2;15.47;16.98
Botuvera Cave;BT2;15.46;17.28
Botuvera Cave;BT2;15.45;16.74
Botuvera Cave;BT2;15.44;16.29
Botuvera Cave;BT2;15.43;16.57
Botuvera Cave;BT2;15.42;17.01
Botuvera Cave;BT2;15.41;17.04
